STRUCTURE_NUMBER_008,MIN_VERT_CLR_010,APPR_WIDTH_MT_032,STRUCTURE_FLARED_035,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,HORR_CLR_MT_047,DECK_AREA,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,MIN_NAV_CLR_MT_116,DEGREES_SKEW_034
000000000027443,99.99,13.7,0,0.0,0.0,0.2,0.2,15.8,16.9,99.99,H,4.5,H,3.6,0.0,15.8,674.31,39.6,39.9,0.0,5
000000000027444,99.99,13.7,0,0.0,0.0,0.2,0.2,12.8,13.9,99.99,H,5.41,H,4.3,99.9,12.8,554.61,39.6,39.9,0.0,5
000000000027445,99.99,13.7,0,0.0,0.0,0.2,0.2,13.9,14.8,99.99,N,0.0,N,0.0,0.0,13.9,3717.76,46.9,251.2,0.0,30
000000000027446,99.99,13.7,0,0.0,0.0,0.2,0.2,12.8,13.0,99.99,N,0.0,N,0.0,0.0,12.8,3265.6,46.9,251.2,0.0,30
000000000027451,99.99,8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,99.99,N,0.0,N,0.0,0.0,15.2,67.15,7.3,7.9,0.0,0
000000000027452,99.99,18.3,0,0.0,0.0,0.5,0.5,13.4,15.1,99.99,H,4.22,H,0.5,0.0,13.4,961.87,27.1,63.7,0.0,61
000000000027453,99.99,18.3,0,0.0,0.0,0.5,0.5,13.4,15.1,99.99,H,4.34,H,0.6,0.0,15.1,966.4,26.8,64.0,0.0,61
000000000027455,99.99,9.1,0,0.0,0.0,0.2,0.2,12.4,13.9,99.99,N,0.0,N,0.0,0.0,12.4,215.45,15.2,15.5,0.0,30
000000000027458,99.99,10.4,0,0.0,0.0,0.0,0.0,9.4,10.1,99.99,N,0.0,N,0.0,0.0,9.4,67.67,6.4,6.7,0.0,0
000000000027459,99.99,8.8,0,0.0,0.0,1.5,1.5,8.5,12.3,99.99,H,4.88,H,6.3,6.1,8.5,847.47,32.9,68.9,0.0,24
000000000027462,99.99,17.1,0,0.0,0.0,0.2,0.2,15.8,17.1,99.99,H,4.34,H,4.6,99.9,15.8,572.85,32.0,33.5,0.0,12
000000000027463,99.99,18.0,0,0.0,0.0,0.2,0.2,15.9,17.1,99.99,H,4.27,H,5.2,99.9,15.9,572.85,32.0,33.5,0.0,12
000000000027465,99.99,20.7,0,0.0,0.0,0.2,0.2,19.5,20.7,99.99,H,5.05,H,11.9,8.5,19.5,3634.92,42.7,175.6,0.0,35
000000000027467,99.99,18.3,0,0.0,0.0,0.2,0.2,15.8,17.1,99.99,H,5.74,H,9.1,8.1,15.8,2970.27,43.3,173.7,0.0,36
000000000027469,99.99,17.4,0,0.0,0.0,0.2,0.2,15.8,17.1,99.99,H,6.86,H,0.9,0.0,15.8,1224.36,32.3,71.6,0.0,2
000000000027470,99.99,16.8,0,0.0,0.0,0.2,0.2,19.3,20.5,99.99,H,21.46,H,0.8,0.0,19.3,3780.2,82.3,184.4,0.0,20
